From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        4.00 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :     1352.00 MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :         inf MFlops
     19x19 :         inf MFlops
     20x20 :         inf MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :         inf MFlops
     26x26 :     5408.00 MFlops
     27x27 :     5832.00 MFlops
     28x28 :     6272.00 MFlops
     29x29 :     6728.00 MFlops
     30x30 :         inf MFlops
     31x31 :     7688.00 MFlops
     32x32 :     8192.00 MFlops
     33x33 :     8712.00 MFlops
     34x34 :     9248.00 MFlops
     35x35 :     9800.00 MFlops
     36x36 :    10368.00 MFlops
     37x37 :    10952.00 MFlops
     38x38 :    11552.00 MFlops
     39x39 :    12168.00 MFlops
     40x40 :    12800.00 MFlops
     41x41 :    13448.00 MFlops
     42x42 :    14112.00 MFlops
     43x43 :     7396.00 MFlops
     44x44 :    15488.00 MFlops
     45x45 :    16200.00 MFlops
     46x46 :     8464.00 MFlops
     47x47 :    17672.00 MFlops
     48x48 :     9216.00 MFlops
     49x49 :    19208.00 MFlops
     50x50 :    20000.00 MFlops
     51x51 :    10404.00 MFlops
     52x52 :    10816.00 MFlops
     53x53 :    11236.00 MFlops
     54x54 :    23328.00 MFlops
     55x55 :    12100.00 MFlops
     56x56 :     8362.67 MFlops
     57x57 :     8664.00 MFlops
     58x58 :    13456.00 MFlops
     59x59 :     9282.67 MFlops
     60x60 :     9600.00 MFlops
     61x61 :    14884.00 MFlops
     62x62 :    15376.00 MFlops
     63x63 :    10584.00 MFlops
     64x64 :    10922.67 MFlops
     65x65 :    11266.67 MFlops
     66x66 :    17424.00 MFlops
     67x67 :    11970.67 MFlops
     68x68 :    12330.67 MFlops
     69x69 :    12696.00 MFlops
     70x70 :    13066.67 MFlops
     71x71 :    13442.67 MFlops
     72x72 :    13824.00 MFlops
     73x73 :    14210.67 MFlops
     74x74 :    10952.00 MFlops
     75x75 :    11250.00 MFlops
     76x76 :    11552.00 MFlops
     77x77 :    15810.67 MFlops
     78x78 :    12168.00 MFlops
     79x79 :    12482.00 MFlops
     80x80 :    12800.00 MFlops
     81x81 :    13122.00 MFlops
     82x82 :    13448.00 MFlops
     83x83 :    11022.40 MFlops
     84x84 :    11289.60 MFlops
     85x85 :    11560.00 MFlops
     86x86 :    11833.60 MFlops
     87x87 :    12110.40 MFlops
     88x88 :    12390.40 MFlops
     89x89 :    12673.60 MFlops
     90x90 :    10800.00 MFlops
     91x91 :    13249.60 MFlops
     92x92 :    11285.33 MFlops
     93x93 :    11532.00 MFlops
     94x94 :    11781.33 MFlops
     95x95 :    14440.00 MFlops
     96x96 :    12288.00 MFlops
     97x97 :    12545.33 MFlops
     98x98 :    10976.00 MFlops
     99x99 :    11201.14 MFlops
    100x100 :    13333.33 MFlops
    101x101 :    11658.29 MFlops
    102x102 :    13872.00 MFlops
    103x103 :    12124.57 MFlops
    104x104 :    12361.14 MFlops
    105x105 :    12600.00 MFlops
    106x106 :    12841.14 MFlops
    107x107 :    13084.57 MFlops
    108x108 :    11664.00 MFlops
    109x109 :    13578.29 MFlops
    110x110 :    12100.00 MFlops
    111x111 :    14081.14 MFlops
    112x112 :    12544.00 MFlops
    113x113 :    12769.00 MFlops
    114x114 :    12996.00 MFlops
    115x115 :    11755.56 MFlops
    116x116 :    13456.00 MFlops
    117x117 :    12168.00 MFlops
    118x118 :    12376.89 MFlops
    119x119 :    12587.56 MFlops
    120x120 :    12800.00 MFlops
    121x121 :    13014.22 MFlops
    122x122 :    13230.22 MFlops
    123x123 :    12103.20 MFlops
    124x124 :    12300.80 MFlops
    125x125 :    12500.00 MFlops
    126x126 :    11546.18 MFlops
    127x127 :    12903.20 MFlops
    128x128 :    13107.20 MFlops
    129x129 :    12102.55 MFlops
    130x130 :    12290.91 MFlops
    131x131 :    13728.80 MFlops
    132x132 :    12672.00 MFlops
    133x133 :    12864.73 MFlops
    134x134 :    13058.91 MFlops
    135x135 :    12150.00 MFlops
    136x136 :    13451.64 MFlops
    137x137 :    12512.67 MFlops
    138x138 :    12696.00 MFlops
    139x139 :    12880.67 MFlops
    140x140 :    13066.67 MFlops
    141x141 :    13254.00 MFlops
    142x142 :    12408.62 MFlops
    143x143 :    12584.00 MFlops
    144x144 :    12760.62 MFlops
    145x145 :    12938.46 MFlops
    146x146 :    13117.54 MFlops
    147x147 :    12348.00 MFlops
    148x148 :    12516.57 MFlops
    149x149 :    12686.29 MFlops
    150x150 :    12857.14 MFlops
    151x151 :    13029.14 MFlops
    152x152 :    13202.29 MFlops
    153x153 :    12484.80 MFlops
    154x154 :    12648.53 MFlops
    155x155 :    12813.33 MFlops
    156x156 :    12979.20 MFlops
    157x157 :    12324.50 MFlops
    158x158 :    12482.00 MFlops
    159x159 :    12640.50 MFlops
    160x160 :    12800.00 MFlops
    161x161 :    12960.50 MFlops
    162x162 :    13122.00 MFlops
    163x163 :    12503.06 MFlops
    164x164 :    12656.94 MFlops
    165x165 :    12811.76 MFlops
    166x166 :    12967.53 MFlops
    167x167 :    12395.11 MFlops
    168x168 :    12544.00 MFlops
    169x169 :    12693.78 MFlops
    170x170 :    12844.44 MFlops
    171x171 :    12996.00 MFlops
    172x172 :    13148.44 MFlops
    173x173 :    13301.78 MFlops
    174x174 :    12747.79 MFlops
    175x175 :    12894.74 MFlops
    176x176 :    13042.53 MFlops
    177x177 :    12531.60 MFlops
    178x178 :    13340.63 MFlops
    179x179 :    12816.40 MFlops
    180x180 :    12960.00 MFlops
    181x181 :    13104.40 MFlops
    182x182 :    12618.67 MFlops
    183x183 :    12757.71 MFlops
    184x184 :    13542.40 MFlops
    185x185 :    13038.10 MFlops
    186x186 :    12580.36 MFlops
    187x187 :    13321.52 MFlops
    188x188 :    13464.38 MFlops
    189x189 :    12989.45 MFlops
    190x190 :    13127.27 MFlops
    191x191 :    13265.82 MFlops
    192x192 :    12822.26 MFlops
    193x193 :    12956.17 MFlops
    194x194 :    13090.78 MFlops
    195x195 :    12675.00 MFlops
    196x196 :    12805.33 MFlops
    197x197 :    12936.33 MFlops
    198x198 :    13068.00 MFlops
    199x199 :    13200.33 MFlops
    200x200 :    13333.33 MFlops
