From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops		Time
      1 :        2.00 MFlops   0.000001 sec
      2 :         inf MFlops   0.000000 sec
      3 :         inf MFlops   0.000000 sec
      4 :         inf MFlops   0.000000 sec
      5 :         inf MFlops   0.000000 sec
      6 :       72.00 MFlops   0.000001 sec
      7 :         inf MFlops   0.000000 sec
      8 :         inf MFlops   0.000000 sec
      9 :         inf MFlops   0.000000 sec
     10 :         inf MFlops   0.000000 sec
     11 :         inf MFlops   0.000000 sec
     12 :      288.00 MFlops   0.000001 sec
     13 :      338.00 MFlops   0.000001 sec
     14 :         inf MFlops   0.000000 sec
     15 :         inf MFlops   0.000000 sec
     16 :         inf MFlops   0.000000 sec
     17 :      578.00 MFlops   0.000001 sec
     18 :      648.00 MFlops   0.000001 sec
     19 :         inf MFlops   0.000000 sec
     20 :      800.00 MFlops   0.000001 sec
     21 :      882.00 MFlops   0.000001 sec
     22 :      968.00 MFlops   0.000001 sec
     23 :         inf MFlops   0.000000 sec
     24 :         inf MFlops   0.000000 sec
     25 :     1250.00 MFlops   0.000001 sec
     26 :         inf MFlops   0.000000 sec
     27 :     1458.00 MFlops   0.000001 sec
     28 :         inf MFlops   0.000000 sec
     29 :         inf MFlops   0.000000 sec
     30 :     1800.00 MFlops   0.000001 sec
     31 :         inf MFlops   0.000000 sec
     32 :         inf MFlops   0.000000 sec
     33 :     2178.00 MFlops   0.000001 sec
     34 :     2312.00 MFlops   0.000001 sec
     35 :     2450.00 MFlops   0.000001 sec
     36 :     2592.00 MFlops   0.000001 sec
     37 :     2738.00 MFlops   0.000001 sec
     38 :     2888.00 MFlops   0.000001 sec
     39 :     3042.00 MFlops   0.000001 sec
     40 :     3200.00 MFlops   0.000001 sec
     41 :     3362.00 MFlops   0.000001 sec
     42 :     3528.00 MFlops   0.000001 sec
     43 :     3698.00 MFlops   0.000001 sec
     44 :     3872.00 MFlops   0.000001 sec
     45 :     4050.00 MFlops   0.000001 sec
     46 :     2116.00 MFlops   0.000002 sec
     47 :     4418.00 MFlops   0.000001 sec
     48 :     2304.00 MFlops   0.000002 sec
     49 :     2401.00 MFlops   0.000002 sec
     50 :     2500.00 MFlops   0.000002 sec
