From :   1  To : 200 Step =   1 Inc_x = 1 Loops = 1
   SIZE       Flops
      1 :         inf MBytes   0.000000 sec
      2 :         inf MBytes   0.000000 sec
      3 :         inf MBytes   0.000000 sec
      4 :         inf MBytes   0.000000 sec
      5 :         inf MBytes   0.000000 sec
      6 :         inf MBytes   0.000000 sec
      7 :         inf MBytes   0.000000 sec
      8 :         inf MBytes   0.000000 sec
      9 :         inf MBytes   0.000000 sec
     10 :         inf MBytes   0.000000 sec
     11 :         inf MBytes   0.000000 sec
     12 :         inf MBytes   0.000000 sec
     13 :         inf MBytes   0.000000 sec
     14 :         inf MBytes   0.000000 sec
     15 :         inf MBytes   0.000000 sec
     16 :         inf MBytes   0.000000 sec
     17 :         inf MBytes   0.000000 sec
     18 :         inf MBytes   0.000000 sec
     19 :         inf MBytes   0.000000 sec
     20 :         inf MBytes   0.000000 sec
     21 :         inf MBytes   0.000000 sec
     22 :         inf MBytes   0.000000 sec
     23 :         inf MBytes   0.000000 sec
     24 :         inf MBytes   0.000000 sec
     25 :         inf MBytes   0.000000 sec
     26 :         inf MBytes   0.000000 sec
     27 :         inf MBytes   0.000000 sec
     28 :         inf MBytes   0.000000 sec
     29 :         inf MBytes   0.000000 sec
     30 :         inf MBytes   0.000000 sec
     31 :         inf MBytes   0.000000 sec
     32 :         inf MBytes   0.000000 sec
     33 :         inf MBytes   0.000000 sec
     34 :         inf MBytes   0.000000 sec
     35 :         inf MBytes   0.000000 sec
     36 :         inf MBytes   0.000000 sec
     37 :         inf MBytes   0.000000 sec
     38 :         inf MBytes   0.000000 sec
     39 :         inf MBytes   0.000000 sec
     40 :         inf MBytes   0.000000 sec
     41 :         inf MBytes   0.000000 sec
     42 :         inf MBytes   0.000000 sec
     43 :      688.00 MBytes   0.000001 sec
     44 :         inf MBytes   0.000000 sec
     45 :         inf MBytes   0.000000 sec
     46 :         inf MBytes   0.000000 sec
     47 :         inf MBytes   0.000000 sec
     48 :         inf MBytes   0.000000 sec
     49 :         inf MBytes   0.000000 sec
     50 :         inf MBytes   0.000000 sec
     51 :      816.00 MBytes   0.000001 sec
     52 :         inf MBytes   0.000000 sec
     53 :         inf MBytes   0.000000 sec
     54 :         inf MBytes   0.000000 sec
     55 :         inf MBytes   0.000000 sec
     56 :         inf MBytes   0.000000 sec
     57 :         inf MBytes   0.000000 sec
     58 :      928.00 MBytes   0.000001 sec
     59 :         inf MBytes   0.000000 sec
     60 :         inf MBytes   0.000000 sec
     61 :         inf MBytes   0.000000 sec
     62 :         inf MBytes   0.000000 sec
     63 :         inf MBytes   0.000000 sec
     64 :         inf MBytes   0.000000 sec
     65 :         inf MBytes   0.000000 sec
     66 :     1056.00 MBytes   0.000001 sec
     67 :         inf MBytes   0.000000 sec
     68 :         inf MBytes   0.000000 sec
     69 :         inf MBytes   0.000000 sec
     70 :         inf MBytes   0.000000 sec
     71 :         inf MBytes   0.000000 sec
     72 :         inf MBytes   0.000000 sec
     73 :         inf MBytes   0.000000 sec
     74 :         inf MBytes   0.000000 sec
     75 :         inf MBytes   0.000000 sec
     76 :         inf MBytes   0.000000 sec
     77 :         inf MBytes   0.000000 sec
     78 :         inf MBytes   0.000000 sec
     79 :         inf MBytes   0.000000 sec
     80 :         inf MBytes   0.000000 sec
     81 :         inf MBytes   0.000000 sec
     82 :         inf MBytes   0.000000 sec
     83 :         inf MBytes   0.000000 sec
     84 :         inf MBytes   0.000000 sec
     85 :         inf MBytes   0.000000 sec
     86 :         inf MBytes   0.000000 sec
     87 :     1392.00 MBytes   0.000001 sec
     88 :         inf MBytes   0.000000 sec
     89 :         inf MBytes   0.000000 sec
     90 :     1440.00 MBytes   0.000001 sec
     91 :         inf MBytes   0.000000 sec
     92 :         inf MBytes   0.000000 sec
     93 :         inf MBytes   0.000000 sec
     94 :         inf MBytes   0.000000 sec
     95 :         inf MBytes   0.000000 sec
     96 :         inf MBytes   0.000000 sec
     97 :         inf MBytes   0.000000 sec
     98 :         inf MBytes   0.000000 sec
     99 :         inf MBytes   0.000000 sec
    100 :     1600.00 MBytes   0.000001 sec
    101 :         inf MBytes   0.000000 sec
    102 :         inf MBytes   0.000000 sec
    103 :         inf MBytes   0.000000 sec
    104 :         inf MBytes   0.000000 sec
    105 :         inf MBytes   0.000000 sec
    106 :         inf MBytes   0.000000 sec
    107 :         inf MBytes   0.000000 sec
    108 :         inf MBytes   0.000000 sec
    109 :         inf MBytes   0.000000 sec
    110 :     1760.00 MBytes   0.000001 sec
    111 :         inf MBytes   0.000000 sec
    112 :         inf MBytes   0.000000 sec
    113 :         inf MBytes   0.000000 sec
    114 :         inf MBytes   0.000000 sec
    115 :         inf MBytes   0.000000 sec
    116 :         inf MBytes   0.000000 sec
    117 :         inf MBytes   0.000000 sec
    118 :         inf MBytes   0.000000 sec
    119 :         inf MBytes   0.000000 sec
    120 :         inf MBytes   0.000000 sec
    121 :         inf MBytes   0.000000 sec
    122 :         inf MBytes   0.000000 sec
    123 :         inf MBytes   0.000000 sec
    124 :         inf MBytes   0.000000 sec
    125 :         inf MBytes   0.000000 sec
    126 :         inf MBytes   0.000000 sec
    127 :         inf MBytes   0.000000 sec
    128 :         inf MBytes   0.000000 sec
    129 :         inf MBytes   0.000000 sec
    130 :         inf MBytes   0.000000 sec
    131 :         inf MBytes   0.000000 sec
    132 :     2112.00 MBytes   0.000001 sec
    133 :         inf MBytes   0.000000 sec
    134 :         inf MBytes   0.000000 sec
    135 :         inf MBytes   0.000000 sec
    136 :         inf MBytes   0.000000 sec
    137 :         inf MBytes   0.000000 sec
    138 :         inf MBytes   0.000000 sec
    139 :         inf MBytes   0.000000 sec
    140 :         inf MBytes   0.000000 sec
    141 :         inf MBytes   0.000000 sec
    142 :         inf MBytes   0.000000 sec
    143 :         inf MBytes   0.000000 sec
    144 :         inf MBytes   0.000000 sec
    145 :         inf MBytes   0.000000 sec
    146 :         inf MBytes   0.000000 sec
