From :   1  To : 200 Step =   1 Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1 :         inf MFlops   0.000000 sec
      2 :         inf MFlops   0.000000 sec
      3 :         inf MFlops   0.000000 sec
      4 :         inf MFlops   0.000000 sec
      5 :         inf MFlops   0.000000 sec
      6 :         inf MFlops   0.000000 sec
      7 :         inf MFlops   0.000000 sec
      8 :         inf MFlops   0.000000 sec
      9 :         inf MFlops   0.000000 sec
     10 :         inf MFlops   0.000000 sec
     11 :         inf MFlops   0.000000 sec
     12 :         inf MFlops   0.000000 sec
     13 :         inf MFlops   0.000000 sec
     14 :         inf MFlops   0.000000 sec
     15 :         inf MFlops   0.000000 sec
     16 :         inf MFlops   0.000000 sec
     17 :         inf MFlops   0.000000 sec
     18 :         inf MFlops   0.000000 sec
     19 :         inf MFlops   0.000000 sec
     20 :      280.00 MFlops   0.000001 sec
     21 :         inf MFlops   0.000000 sec
     22 :         inf MFlops   0.000000 sec
     23 :         inf MFlops   0.000000 sec
     24 :         inf MFlops   0.000000 sec
     25 :         inf MFlops   0.000000 sec
     26 :         inf MFlops   0.000000 sec
     27 :         inf MFlops   0.000000 sec
     28 :         inf MFlops   0.000000 sec
     29 :         inf MFlops   0.000000 sec
     30 :         inf MFlops   0.000000 sec
     31 :         inf MFlops   0.000000 sec
     32 :      448.00 MFlops   0.000001 sec
     33 :         inf MFlops   0.000000 sec
     34 :         inf MFlops   0.000000 sec
     35 :         inf MFlops   0.000000 sec
     36 :         inf MFlops   0.000000 sec
     37 :         inf MFlops   0.000000 sec
     38 :         inf MFlops   0.000000 sec
     39 :         inf MFlops   0.000000 sec
     40 :         inf MFlops   0.000000 sec
     41 :         inf MFlops   0.000000 sec
     42 :      588.00 MFlops   0.000001 sec
     43 :         inf MFlops   0.000000 sec
     44 :         inf MFlops   0.000000 sec
     45 :         inf MFlops   0.000000 sec
     46 :         inf MFlops   0.000000 sec
     47 :         inf MFlops   0.000000 sec
     48 :         inf MFlops   0.000000 sec
     49 :         inf MFlops   0.000000 sec
     50 :         inf MFlops   0.000000 sec
     51 :         inf MFlops   0.000000 sec
     52 :         inf MFlops   0.000000 sec
     53 :         inf MFlops   0.000000 sec
     54 :         inf MFlops   0.000000 sec
     55 :         inf MFlops   0.000000 sec
     56 :         inf MFlops   0.000000 sec
     57 :         inf MFlops   0.000000 sec
     58 :         inf MFlops   0.000000 sec
     59 :         inf MFlops   0.000000 sec
     60 :      840.00 MFlops   0.000001 sec
     61 :         inf MFlops   0.000000 sec
     62 :         inf MFlops   0.000000 sec
     63 :         inf MFlops   0.000000 sec
     64 :      896.00 MFlops   0.000001 sec
     65 :      910.00 MFlops   0.000001 sec
     66 :      924.00 MFlops   0.000001 sec
     67 :         inf MFlops   0.000000 sec
     68 :         inf MFlops   0.000000 sec
     69 :         inf MFlops   0.000000 sec
     70 :         inf MFlops   0.000000 sec
     71 :         inf MFlops   0.000000 sec
     72 :         inf MFlops   0.000000 sec
     73 :         inf MFlops   0.000000 sec
     74 :         inf MFlops   0.000000 sec
     75 :         inf MFlops   0.000000 sec
     76 :     1064.00 MFlops   0.000001 sec
     77 :         inf MFlops   0.000000 sec
     78 :         inf MFlops   0.000000 sec
     79 :         inf MFlops   0.000000 sec
     80 :         inf MFlops   0.000000 sec
     81 :         inf MFlops   0.000000 sec
     82 :         inf MFlops   0.000000 sec
     83 :     1162.00 MFlops   0.000001 sec
     84 :         inf MFlops   0.000000 sec
     85 :         inf MFlops   0.000000 sec
     86 :         inf MFlops   0.000000 sec
     87 :         inf MFlops   0.000000 sec
     88 :         inf MFlops   0.000000 sec
     89 :         inf MFlops   0.000000 sec
     90 :         inf MFlops   0.000000 sec
     91 :         inf MFlops   0.000000 sec
     92 :         inf MFlops   0.000000 sec
     93 :         inf MFlops   0.000000 sec
     94 :         inf MFlops   0.000000 sec
     95 :         inf MFlops   0.000000 sec
     96 :         inf MFlops   0.000000 sec
     97 :         inf MFlops   0.000000 sec
     98 :     1372.00 MFlops   0.000001 sec
     99 :         inf MFlops   0.000000 sec
    100 :         inf MFlops   0.000000 sec
    101 :         inf MFlops   0.000000 sec
    102 :         inf MFlops   0.000000 sec
    103 :         inf MFlops   0.000000 sec
    104 :         inf MFlops   0.000000 sec
    105 :         inf MFlops   0.000000 sec
    106 :         inf MFlops   0.000000 sec
    107 :         inf MFlops   0.000000 sec
    108 :         inf MFlops   0.000000 sec
    109 :         inf MFlops   0.000000 sec
    110 :     1540.00 MFlops   0.000001 sec
    111 :         inf MFlops   0.000000 sec
    112 :     1568.00 MFlops   0.000001 sec
    113 :     1582.00 MFlops   0.000001 sec
    114 :         inf MFlops   0.000000 sec
    115 :         inf MFlops   0.000000 sec
    116 :     1624.00 MFlops   0.000001 sec
    117 :     1638.00 MFlops   0.000001 sec
    118 :         inf MFlops   0.000000 sec
    119 :     1666.00 MFlops   0.000001 sec
    120 :         inf MFlops   0.000000 sec
