From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        2.67 MFlops
      2x2 :       16.00 MFlops
      3x3 :       72.00 MFlops
      4x4 :      128.00 MFlops
      5x5 :      100.00 MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :      968.00 MFlops
     12x12 :     1152.00 MFlops
     13x13 :         inf MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :     2048.00 MFlops
     17x17 :     2312.00 MFlops
     18x18 :         inf MFlops
     19x19 :     2888.00 MFlops
     20x20 :     3200.00 MFlops
     21x21 :     3528.00 MFlops
     22x22 :     3872.00 MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :         inf MFlops
     26x26 :         inf MFlops
     27x27 :     5832.00 MFlops
     28x28 :     6272.00 MFlops
     29x29 :     6728.00 MFlops
     30x30 :     7200.00 MFlops
     31x31 :         inf MFlops
     32x32 :     8192.00 MFlops
     33x33 :     8712.00 MFlops
     34x34 :     4624.00 MFlops
     35x35 :     9800.00 MFlops
     36x36 :    10368.00 MFlops
     37x37 :     5476.00 MFlops
     38x38 :     5776.00 MFlops
     39x39 :     6084.00 MFlops
     40x40 :    12800.00 MFlops
     41x41 :    13448.00 MFlops
     42x42 :     7056.00 MFlops
     43x43 :     7396.00 MFlops
     44x44 :    15488.00 MFlops
     45x45 :     8100.00 MFlops
     46x46 :     8464.00 MFlops
     47x47 :     8836.00 MFlops
     48x48 :     9216.00 MFlops
     49x49 :     9604.00 MFlops
     50x50 :     6666.67 MFlops
     51x51 :    10404.00 MFlops
     52x52 :    10816.00 MFlops
     53x53 :    11236.00 MFlops
     54x54 :     7776.00 MFlops
     55x55 :    12100.00 MFlops
     56x56 :     8362.67 MFlops
     57x57 :     8664.00 MFlops
     58x58 :     8970.67 MFlops
     59x59 :     9282.67 MFlops
     60x60 :     9600.00 MFlops
     61x61 :     9922.67 MFlops
     62x62 :    10250.67 MFlops
     63x63 :    10584.00 MFlops
     64x64 :    10922.67 MFlops
     65x65 :    11266.67 MFlops
     66x66 :     8712.00 MFlops
     67x67 :    11970.67 MFlops
     68x68 :    12330.67 MFlops
     69x69 :     9522.00 MFlops
     70x70 :     9800.00 MFlops
     71x71 :    10082.00 MFlops
     72x72 :    10368.00 MFlops
     73x73 :    10658.00 MFlops
     74x74 :    10952.00 MFlops
     75x75 :    11250.00 MFlops
     76x76 :     9241.60 MFlops
     77x77 :     9486.40 MFlops
     78x78 :    12168.00 MFlops
     79x79 :     9985.60 MFlops
     80x80 :    10240.00 MFlops
     81x81 :    10497.60 MFlops
     82x82 :    10758.40 MFlops
     83x83 :    11022.40 MFlops
     84x84 :    11289.60 MFlops
     85x85 :     9633.33 MFlops
     86x86 :     9861.33 MFlops
     87x87 :    12110.40 MFlops
     88x88 :    10325.33 MFlops
     89x89 :    10561.33 MFlops
     90x90 :    10800.00 MFlops
     91x91 :     9464.00 MFlops
     92x92 :     9673.14 MFlops
     93x93 :    11532.00 MFlops
     94x94 :    10098.29 MFlops
     95x95 :    10314.29 MFlops
     96x96 :    10532.57 MFlops
     97x97 :    10753.14 MFlops
     98x98 :     9604.00 MFlops
     99x99 :    11201.14 MFlops
    100x100 :    10000.00 MFlops
    101x101 :    11658.29 MFlops
    102x102 :    10404.00 MFlops
    103x103 :    10609.00 MFlops
    104x104 :    10816.00 MFlops
    105x105 :    11025.00 MFlops
    106x106 :     9987.56 MFlops
    107x107 :    10176.89 MFlops
    108x108 :    10368.00 MFlops
    109x109 :    10560.89 MFlops
    110x110 :    10755.56 MFlops
    111x111 :    10952.00 MFlops
    112x112 :    11150.22 MFlops
    113x113 :    11350.22 MFlops
    114x114 :    11552.00 MFlops
    115x115 :    10580.00 MFlops
    116x116 :    10764.80 MFlops
    117x117 :    10951.20 MFlops
    118x118 :    11139.20 MFlops
    119x119 :    11328.80 MFlops
    120x120 :    11520.00 MFlops
    121x121 :    10648.00 MFlops
    122x122 :    10824.73 MFlops
    123x123 :    11002.91 MFlops
    124x124 :    11182.55 MFlops
    125x125 :    11363.64 MFlops
    126x126 :    11546.18 MFlops
    127x127 :    10752.67 MFlops
    128x128 :    11915.64 MFlops
    129x129 :    11094.00 MFlops
    130x130 :    10400.00 MFlops
    131x131 :    11440.67 MFlops
    132x132 :    10722.46 MFlops
    133x133 :    10885.54 MFlops
    134x134 :    11049.85 MFlops
    135x135 :    11215.38 MFlops
    136x136 :    11382.15 MFlops
    137x137 :    10725.14 MFlops
    138x138 :    11719.38 MFlops
    139x139 :    11040.57 MFlops
    140x140 :    11200.00 MFlops
    141x141 :    11360.57 MFlops
    142x142 :    11522.29 MFlops
    143x143 :    10906.13 MFlops
    144x144 :    11059.20 MFlops
    145x145 :    11213.33 MFlops
    146x146 :    11368.53 MFlops
    147x147 :    11524.80 MFlops
    148x148 :    11682.13 MFlops
    149x149 :    11100.50 MFlops
    150x150 :    11250.00 MFlops
    151x151 :    11400.50 MFlops
    152x152 :    11552.00 MFlops
    153x153 :    11704.50 MFlops
    154x154 :    11858.00 MFlops
    155x155 :    11305.88 MFlops
    156x156 :    11452.24 MFlops
    157x157 :    11599.53 MFlops
    158x158 :    11747.76 MFlops
    159x159 :    11236.00 MFlops
    160x160 :    11377.78 MFlops
    161x161 :    11520.44 MFlops
    162x162 :    11050.11 MFlops
    163x163 :    11186.95 MFlops
    164x164 :    11324.63 MFlops
    165x165 :     1177.30 MFlops
    166x166 :     4592.67 MFlops
    167x167 :     4553.31 MFlops
    168x168 :     4704.00 MFlops
    169x169 :     4663.02 MFlops
    170x170 :     4624.00 MFlops
    171x171 :     4678.56 MFlops
    172x172 :     4733.44 MFlops
    173x173 :     4694.75 MFlops
    174x174 :     4657.85 MFlops
    175x175 :     4622.64 MFlops
    176x176 :     4675.62 MFlops
    177x177 :     4728.91 MFlops
    178x178 :     4693.93 MFlops
    179x179 :     4660.51 MFlops
    180x180 :     4712.73 MFlops
    181x181 :     4680.14 MFlops
    182x182 :     9464.00 MFlops
    183x183 :    11648.35 MFlops
    184x184 :    11776.00 MFlops
    185x185 :    11408.33 MFlops
    186x186 :    12033.39 MFlops
    187x187 :    11656.33 MFlops
    188x188 :    11310.08 MFlops
    189x189 :    11430.72 MFlops
    190x190 :     4512.50 MFlops
    191x191 :     4707.23 MFlops
    192x192 :     4756.65 MFlops
    193x193 :     4730.03 MFlops
    194x194 :     4704.50 MFlops
    195x195 :     4680.00 MFlops
    196x196 :     4728.12 MFlops
    197x197 :     4704.12 MFlops
    198x198 :     4752.00 MFlops
    199x199 :     9900.25 MFlops
    200x200 :    11034.48 MFlops
